Job,Department,Organization Group,Overtime,Total Salary,Total Benefits,Total Compensation
Public Svc Aide-Public Works,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,26656.47,8265.45,34921.92
PS Aide to Prof,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,19229.48,5514.71,24744.19
Engineering Assistant,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,87252.41,24303.96,111556.37
Communications Dispatcher 1,Department Of Public Works,"Public Works, Transportation & Commerce",3163.96,73843.0,20337.47,94180.47
"StdntDsgnTrain1, Arch/Eng/Plng",Department Of Public Works,"Public Works, Transportation & Commerce",0.0,2497.4,189.68,2687.08
Firefighter,Fire Department,Public Protection,77360.97,237766.34,33839.89,271606.23
"Lieutenant, Fire Suppression",Fire Department,Public Protection,79166.05,256695.75,38293.36,294989.11
EMT/Paramedic/Firefighter,Fire Department,Public Protection,321.38,170827.76,33950.85,204778.61
"Lieutenant, Fire Suppression",Fire Department,Public Protection,42011.95,216207.97,37074.86,253282.83
"Captain, Fire Suppression",Fire Department,Public Protection,255243.59,457506.03,45596.11,503102.14
"Lieutenant, Fire Suppression",Fire Department,Public Protection,79447.41,249872.08,38275.53,288147.61
EMT Paramedic,Fire Department,Public Protection,0.0,1462.29,317.31,1779.6
Senior Management Assistant,Fire Department,Public Protection,8338.13,126350.32,33295.25,159645.57
Firefighter,Fire Department,Public Protection,151782.9,298070.68,33376.72,331447.4
Firefighter,Fire Department,Public Protection,963.21,132130.4,28647.09,160777.49
Firefighter,Fire Department,Public Protection,59810.15,194747.32,29427.95,224175.27
EMT/Paramedic/Firefighter,Fire Department,Public Protection,28536.09,154448.64,26709.94,181158.58
Senior Clerk Typist,Human Services,Human Welfare & Neighborhood Development,1.5,78018.77,21681.85,99700.62
Senior Clerk Typist,Human Services,Human Welfare & Neighborhood Development,2.4,77411.51,22376.54,99788.05
IT Operations Support Admin IV,Human Services,Human Welfare & Neighborhood Development,0.0,134112.7,36891.81,171004.51
Employment & Training Spec 3,Human Services,Human Welfare & Neighborhood Development,0.0,95907.6,26801.87,122709.47
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,0.0,92849.2,26320.72,119169.92
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",4647.38,80274.62,21543.22,101817.84
Assoc Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,143740.38,39782.76,183523.14
Public Svc Aide-Public Works,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,28703.3,8934.33,37637.63
Assistant Engineer,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,124023.98,34934.56,158958.54
IS Business Analyst-Principal,Economic Workforce Development,"Public Works, Transportation & Commerce",0.0,147786.4,40924.3,188710.7
Sr. Community Devl Spc 1,Economic Workforce Development,"Public Works, Transportation & Commerce",0.0,119650.3,33818.97,153469.27
Security Guard,Fine Arts Museum,Culture & Recreation,2681.19,81975.98,22302.46,104278.44
"Insp, Fire Dept",Fire Department,Public Protection,0.0,94444.52,9768.98,104213.5
Firefighter,Fire Department,Public Protection,34733.41,194259.7,31894.15,226153.85
Firefighter,Fire Department,Public Protection,58469.93,213750.52,32333.92,246084.44
"Lieut,Fire Prev",Fire Department,Public Protection,31.47,14740.6,2333.31,17073.91
Firefighter,Fire Department,Public Protection,54661.25,157298.82,22393.02,179691.84
EMT/Paramedic/Firefighter,Fire Department,Public Protection,46606.38,204251.03,35141.97,239393.0
Firefighter,Fire Department,Public Protection,62840.82,203642.92,30765.48,234408.4
Firefighter,Fire Department,Public Protection,153955.95,290094.97,30963.99,321058.96
Firefighter,Fire Department,Public Protection,60332.59,171829.48,24435.24,196264.72
Program Specialist,Human Services,Human Welfare & Neighborhood Development,4692.74,111150.05,30460.47,141610.52
Protective Services Supervisor,Human Services,Human Welfare & Neighborhood Development,16382.57,162110.53,39045.28,201155.81
Protective Services Worker,Human Services,Human Welfare & Neighborhood Development,0.0,122708.41,34315.19,157023.6
Principal Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,92380.28,26204.72,118585.0
Program Support Analyst,Human Services,Human Welfare & Neighborhood Development,0.0,130696.4,36965.17,167661.57
Program Specialist,Human Services,Human Welfare & Neighborhood Development,0.0,13699.33,2284.46,15983.79
Clerk,Human Services,Human Welfare & Neighborhood Development,0.0,70260.61,19455.84,89716.45
Architectural Associate 1,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,93695.32,20825.28,114520.6
Arch/Landscp ArchitectrII,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,114837.23,32420.87,147258.1
Street Environ Svcs Oprs Supv,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,39570.57,11317.33,50887.9
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",13246.52,85310.18,21272.34,106582.52
PS Aide to Prof,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,20120.64,5394.16,25514.8
Sheet Metal Worker,Department Of Public Works,"Public Works, Transportation & Commerce",2196.43,123127.63,33866.61,156994.24
Clerk,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,67446.65,18958.79,86405.44
Engineering Associate 1,Department Of Public Works,"Public Works, Transportation & Commerce",0.0,102913.42,28748.4,131661.82
General Laborer,Department Of Public Works,"Public Works, Transportation & Commerce",2053.63,49856.5,15250.49,65106.99
Public Svc Aide-Public Works,Department Of Public Works,"Public Works, Transportation & Commerce",168.46,39688.18,12394.93,52083.11
Sr. Community Devl Spc 1,Economic Workforce Development,"Public Works, Transportation & Commerce",0.0,114420.53,31988.95,146409.48
Manager IV,Economic Workforce Development,"Public Works, Transportation & Commerce",0.0,163565.73,55093.11,218658.84
Museum Guard,Fine Arts Museum,Culture & Recreation,41438.52,124177.79,26246.63,150424.42
Firefighter,Fire Department,Public Protection,25237.27,110423.45,15461.15,125884.6
"Lieutenant, Fire Suppression",Fire Department,Public Protection,44334.52,216161.4,36128.76,252290.16
"Lieutenant, Fire Suppression",Fire Department,Public Protection,0.0,171874.47,35894.12,207768.59
Firefighter,Fire Department,Public Protection,73320.16,226637.82,33672.93,260310.75
EMT/Paramedic/Firefighter,Fire Department,Public Protection,21916.74,165901.73,31112.63,197014.36
HSA Sr Eligibility Worker,Human Services,Human Welfare & Neighborhood Development,0.0,96022.9,27238.94,123261.84
Print/Mail Machine Operator,Administrative Services,General Administration & Finance,121.59,78890.8,22293.04,101183.84
Automotive Mechanic,Administrative Services,General Administration & Finance,0.0,101785.11,28409.73,130194.84
Training Officer,Administrative Services,General Administration & Finance,0.0,34115.18,2606.66,36721.84
Publ Svc Aide-Asst to Prof,Administrative Services,General Administration & Finance,135.9,48211.51,14687.57,62899.08
Customer Service Agent,Administrative Services,General Administration & Finance,3139.94,95179.15,26246.18,121425.33
PS Aide to Prof,Administrative Services,General Administration & Finance,0.0,42250.35,13392.66,55643.01
Stationary Engineer,Administrative Services,General Administration & Finance,3582.93,77803.93,20929.97,98733.9
Customer Service Agent Trainee,Administrative Services,General Administration & Finance,0.0,29104.16,2210.46,31314.62
Automotive Mechanic,Airport Commission,"Public Works, Transportation & Commerce",161.41,112135.02,31383.02,143518.04
Housekeeper/Food Service Clnr,Airport Commission,"Public Works, Transportation & Commerce",1927.48,67855.45,21054.54,88909.99
Senior Administrative Analyst,Airport Commission,"Public Works, Transportation & Commerce",0.0,127162.23,35859.25,163021.48
Airport Communications Officer,Airport Commission,"Public Works, Transportation & Commerce",0.0,129587.44,46961.45,176548.89
Manager II,Airport Commission,"Public Works, Transportation & Commerce",0.0,164083.23,64424.48,228507.71
Real Property Appraiser,Assessor,General Administration & Finance,0.0,99481.8,28003.74,127485.54
Real Property Appraiser,Assessor,General Administration & Finance,0.0,76337.8,23312.86,99650.66
Legal Secretary 1,City Attorney,General Administration & Finance,4.2,99105.51,28017.57,127123.08
Attorney (Civil/Criminal),City Attorney,General Administration & Finance,0.0,235926.59,60278.4,296204.99
Auditor III,Controller,General Administration & Finance,0.0,140358.35,39596.05,179954.4
Accountant III,Controller,General Administration & Finance,0.0,112256.22,31677.55,143933.77
"Brd Comm Mbr, M=$300/Mtg.",City Planning,General Administration & Finance,0.0,12300.0,940.18,13240.18
Manager III,City Planning,General Administration & Finance,0.0,51737.0,18879.51,70616.51
Stationary Engineer,Administrative Services,General Administration & Finance,5050.33,54162.61,4134.41,58297.02
Management Assistant,Administrative Services,General Administration & Finance,0.0,100424.7,28271.61,128696.31
Senior Real Property Officer,Administrative Services,General Administration & Finance,0.0,92419.02,25173.66,117592.68
Publ Svc Aide-Asst to Prof,Administrative Services,General Administration & Finance,17.07,8712.35,661.7,9374.05
Executive Secretary 1,Airport Commission,"Public Works, Transportation & Commerce",0.0,63383.69,17726.62,81110.31
Administrative Analyst,Airport Commission,"Public Works, Transportation & Commerce",0.0,109127.11,30879.27,140006.38
Senior Stationary Engineer,Airport Commission,"Public Works, Transportation & Commerce",0.0,133898.9,32330.34,166229.24
Custodian,Airport Commission,"Public Works, Transportation & Commerce",2043.75,71812.04,19898.2,91710.24
Custodian,Airport Commission,"Public Works, Transportation & Commerce",3274.2,73681.96,20222.77,93904.73
Airport Security ID Technician,Airport Commission,"Public Works, Transportation & Commerce",526.7,78933.53,22223.04,101156.57
"Stationary Eng, Sewage Plant",Airport Commission,"Public Works, Transportation & Commerce",13563.06,81160.72,18775.78,99936.5
Executive Secretary 1,Airport Commission,"Public Works, Transportation & Commerce",0.0,91186.45,25719.12,116905.57
Custodian,Airport Commission,"Public Works, Transportation & Commerce",2789.5,71122.37,21845.54,92967.91
ASR-Office Assistant,Assessor,General Administration & Finance,0.0,23000.01,2367.12,25367.13
Pr Administrative Analyst,Children Youth & Families,Human Welfare & Neighborhood Development,0.0,145992.7,40454.93,186447.63
Pr Administrative Analyst,Children Youth & Families,Human Welfare & Neighborhood Development,0.0,152209.83,41635.08,193844.91
Pr Administrative Analyst,Children Youth & Families,Human Welfare & Neighborhood Development,0.0,130356.22,36764.19,167120.41
Pr Administrative Analyst,Controller,General Administration & Finance,0.0,36655.02,8008.84,44663.86
Pr Administrative Analyst,Controller,General Administration & Finance,0.0,147218.4,40805.83,188024.23
Public Service Trainee,City Planning,General Administration & Finance,0.0,14126.89,1096.47,15223.36
Child Support Officer III,Child Support Services,Human Welfare & Neighborhood Development,0.0,116914.43,32773.56,149687.99
Attorney (Civil/Criminal),District Attorney,Public Protection,0.0,134127.44,39285.26,173412.7
"Head Atty, Civil & Criminal",District Attorney,Public Protection,0.0,247107.0,64192.2,311299.2
Victim/Witness Investigator 2,District Attorney,Public Protection,0.0,53393.05,15213.18,68606.23
Attorney (Civil/Criminal),District Attorney,Public Protection,0.0,16810.25,1286.77,18097.02
Attorney (Civil/Criminal),District Attorney,Public Protection,0.0,235926.59,60650.84,296577.43
Attorney (Civil/Criminal),District Attorney,Public Protection,0.0,235926.59,60811.93,296738.52
"Head Atty, Civil & Criminal",District Attorney,Public Protection,0.0,120715.01,33286.32,154001.33
Deputy Court Clerk II,Trial Courts,Public Protection,0.0,34315.85,2677.3,36993.15
Court Manager,Trial Courts,Public Protection,0.0,126799.72,71385.4,198185.12
Deputy Court Clerk III,Trial Courts,Public Protection,0.0,97667.96,47188.23,144856.19
Court Manager,Trial Courts,Public Protection,0.0,126846.44,70246.88,197093.32
Deputy Court Clerk II,Trial Courts,Public Protection,0.0,84934.2,43553.4,128487.6
Deputy Court Clerk II,Trial Courts,Public Protection,0.0,63071.25,33502.87,96574.12
Sr Human Resources Analyst,Trial Courts,Public Protection,0.0,118062.96,52928.51,170991.47
Fiscal Services Supervisor,Trial Courts,Public Protection,0.0,104010.87,63870.83,167881.7
Child Support Officer II,Child Support Services,Human Welfare & Neighborhood Development,0.0,87650.88,24734.73,112385.61
Attorney (Civil/Criminal),District Attorney,Public Protection,0.0,235926.59,60599.15,296525.74
Victim/Witness Investigator 3,District Attorney,Public Protection,0.0,118972.44,33093.38,152065.82
Court Supervisor II,Trial Courts,Public Protection,0.0,56453.07,43372.39,99825.46
Court Reporter,Trial Courts,Public Protection,0.0,131283.67,56570.8,187854.47
Court Training Specialist,Trial Courts,Public Protection,0.0,92991.26,43566.5,136557.76
Court Interpreter,Trial Courts,Public Protection,0.0,92892.8,45804.36,138697.16
Court Supervisor II,Trial Courts,Public Protection,0.0,102562.74,80557.86,183120.6
Court Supervisor II,Trial Courts,Public Protection,0.0,112930.5,67758.77,180689.27
Deputy Court Clerk II,Trial Courts,Public Protection,0.0,69133.12,39191.32,108324.44
Deputy Court Clerk II,Trial Courts,Public Protection,0.0,66958.08,40732.2,107690.28
Deputy Court Clerk II,Trial Courts,Public Protection,0.0,60616.96,38719.48,99336.44
Deputy Court Clerk II,Trial Courts,Public Protection,0.0,67384.46,40741.62,108126.08
Museum Guard,Asian Art Museum,Culture & Recreation,33302.41,116112.66,25982.78,142095.44
Electrician,Asian Art Museum,Culture & Recreation,0.0,121363.6,34187.55,155551.15
Stationary Engineer,Asian Art Museum,Culture & Recreation,3259.41,114128.97,31546.57,145675.54
Pr Administrative Analyst,Administrative Services,General Administration & Finance,0.0,147218.4,40866.44,188084.84
Clerk,Administrative Services,General Administration & Finance,13.5,32939.81,10460.9,43400.71
Med Examiner's Investigator II,Administrative Services,General Administration & Finance,16950.59,147465.94,37889.92,185355.86
